"Category","File","Objective","Context","Line"
"campaign","scenarios\campaign\angevin\ang_chp2_bayeux\obj_controlgroups.scar","OBJ_ControlGroups","definition","4"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","OBJ_ControlPrimary","usage","126"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_objectives.scar","OBJ_ControlPrimary","definition","32"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","OBJ_ControlPrimary","usage","249"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","OBJ_Crusaders","usage","133"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","OBJ_Crusaders","usage","464"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_crusaders.scar","OBJ_Crusaders","definition","9"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_tutorial.scar","OBJ_Crusaders","usage","272"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_ottoman\challenge_mission_ottoman_objectives.scar","OBJ_CurrentMedal","definition","80"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_ottoman\challenge_mission_ottoman.scar","OBJ_CurrentMedal","usage","240"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\obj_killharold.scar","OBJ_DebugComplete","definition","81"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_reclaim.scar","OBJ_DebugComplete","definition","42"
"campaign","scenarios\campaign\angevin\ang_chp2_bayeux\obj_capturewood.scar","OBJ_DebugComplete","definition","41"
"campaign","scenarios\campaign\angevin\ang_chp2_bayeux\obj_destroy.scar","OBJ_DebugComplete","definition","118"
"campaign","scenarios\campaign\angevin\ang_chp2_bremule\obj_frenchadvance.scar","OBJ_DebugComplete","definition","65"
"campaign","scenarios\campaign\angevin\ang_chp2_tinchebray\ang_chp2_tinchebray.scar","OBJ_DebugComplete","definition","255"
"campaign","scenarios\campaign\angevin\ang_chp3_lincoln\obj_defeat.scar","OBJ_DebugComplete","definition","350"
"campaign","scenarios\campaign\angevin\ang_chp3_wallingford\ang_chp3_wallingford_objectives.scar","OBJ_DebugComplete","definition","84"
"campaign","scenarios\campaign\angevin\ang_chp3_wallingford\obj_eliminate.scar","OBJ_DebugComplete","definition","30"
"campaign","scenarios\campaign\angevin\ang_chp4_dover\obj_holdoffsiege.scar","OBJ_DebugComplete","definition","77"
"campaign","scenarios\campaign\angevin\ang_chp4_lincoln\ang_chp4_lincoln.scar","OBJ_DebugComplete","definition","1135"
"campaign","scenarios\campaign\angevin\ang_chp4_rochester\obj_capturevillage.scar","OBJ_DebugComplete","definition","41"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_combat.scar","OBJ_DebugComplete","definition","156"
"campaign","scenarios\campaign\hundred\hun_chp2_pontvallain\hun_chp2_pontvallain_objectives.scar","OBJ_DebugComplete","definition","114"
"campaign","scenarios\campaign\hundred\hun_chp3_orleans\hun_chp3_orleans_objectives.scar","OBJ_DebugComplete","definition","94"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\hun_chp3_patay.scar","OBJ_DebugComplete","definition","1318"
"campaign","scenarios\campaign\hundred\hun_chp4_formigny\obj_captureformigny.scar","OBJ_DebugComplete","definition","47"
"campaign","scenarios\campaign\hundred\hun_chp4_rouen\obj_destroy_rouen.scar","OBJ_DebugComplete","definition","78"
"campaign","scenarios\campaign\mongol\mon_chp1_juyong\obj_juyong_phase4.scar","OBJ_DebugComplete","definition","91"
"campaign","scenarios\campaign\mongol\mon_chp1_kalka_river\obj_defeat_enclosedrus.scar","OBJ_DebugComplete","definition","30"
"campaign","scenarios\campaign\mongol\mon_chp1_zhongdu\obj_zhongdu_phase2.scar","OBJ_DebugComplete","definition","205"
"campaign","scenarios\campaign\mongol\mon_chp2_kiev\obj_destroykiev.scar","OBJ_DebugComplete","definition","193"
"campaign","scenarios\campaign\mongol\mon_chp2_liegnitz\obj_destroypoles.scar","OBJ_DebugComplete","definition","356"
"campaign","scenarios\campaign\mongol\mon_chp2_mohi\obj_hungarianarmy.scar","OBJ_DebugComplete","definition","219"
"campaign","scenarios\campaign\mongol\mon_chp3_lumen_shan\obj_lumen_phase4.scar","OBJ_DebugComplete","definition","94"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\obj_xiangyang1_phase2.scar","OBJ_DebugComplete","definition","298"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\obj_xiangyang2_phase3.scar","OBJ_DebugComplete","definition","162"
"campaign","scenarios\campaign\russia\gdm_chp1_moscow\gdm_chp1_moscow.scar","OBJ_DebugComplete","definition","718"
"campaign","scenarios\campaign\russia\gdm_chp2_kulikovo\obj_defenselines.scar","OBJ_DebugComplete","definition","326"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_collecttaxes.scar","OBJ_DebugComplete","definition","52"
"campaign","scenarios\campaign\russia\gdm_chp3_moscow\obj_prepare.scar","OBJ_DebugComplete","definition","128"
"campaign","scenarios\campaign\russia\gdm_chp3_novgorod\obj_destroy_novgorod.scar","OBJ_DebugComplete","definition","81"
"campaign","scenarios\campaign\russia\gdm_chp3_ugra\obj_attackmongols.scar","OBJ_DebugComplete","definition","50"
"campaign","scenarios\campaign\russia\gdm_chp4_kazan\obj_siegekazan.scar","OBJ_DebugComplete","definition","138"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\obj_besiegesmolensk.scar","OBJ_DebugComplete","definition","267"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_earlyeconomy\challenge_mission_earlyeconomy.scar","OBJ_DebugComplete","definition","1885"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_earlysiege\challenge_mission_earlysiege.scar","OBJ_DebugComplete","definition","2188"
"campaign","scenarios\campaign\angevin\ang_chp2_bremule\obj_frenchadvance.scar","OBJ_DebugComplete_Mid","definition","54"
"campaign","scenarios\campaign\angevin\ang_chp2_bremule\obj_frenchadvance.scar","OBJ_DebugComplete_Min","definition","43"
"campaign","scenarios\campaign\hundred\hun_chp2_cocherel\obj_kill_charlesarmy.scar","OBJ_DebugComplete1","definition","23"
"campaign","scenarios\campaign\hundred\hun_chp2_cocherel\obj_kill_charlesarmy.scar","OBJ_DebugComplete2","definition","34"
"campaign","scenarios\campaign\hundred\hun_chp1_paris\hun_chp1_paris_objectives.scar","OBJ_Defeat","definition","20"
